what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773880607
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1381773881839
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1381773881948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1381773883196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1381773883618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1381773884928
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1381773885568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773887752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773889047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773890045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773890997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773891309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773896535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773897549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1381773910390
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1381773912153
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1381773912403
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1381773912434
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1381773912465
